SOC (%),VOLT (V),ESR (Ω)
0.0,0.0,0.0
0.040016006402561026,0.0,0.0
0.08003201280512205,0.0,0.0
0.12004801920768307,0.0,0.0
0.1600640256102441,0.0,0.0
0.2000800320128051,0.0,0.0
0.24009603841536614,0.0,0.0
0.2801120448179272,0.0,0.0
0.3201280512204882,0.0,0.0
0.36014405762304924,0.0,0.0
0.4001600640256102,0.0,0.0
0.44017607042817125,0.0,0.0
0.4801920768307323,0.0,0.0
0.5202080832332934,0.0,0.0
0.5602240896358543,0.0,0.0
0.6002400960384153,0.0,0.0
0.6402561024409764,0.0,0.0
0.6802721088435374,0.0,0.0
0.7202881152460985,0.0,0.0
0.7603041216486595,0.0,0.0
0.8003201280512204,0.0,0.0
0.8403361344537815,0.0,0.0
0.8803521408563425,0.0,0.0
0.9203681472589036,0.0,0.0
0.9603841536614646,0.0,0.0
1.0004001600640255,0.0,0.0
1.0404161664665867,0.0,0.0
1.0804321728691477,0.0,0.0
1.1204481792717087,0.0,0.0
1.1604641856742697,0.0,0.0
1.2004801920768307,0.0,0.0
1.2404961984793919,0.0,0.0
1.2805122048819528,0.0,0.0
1.3205282112845138,0.0,0.0
1.3605442176870748,0.0,0.0
1.4005602240896358,0.0,0.0
1.440576230492197,0.0,0.0
1.480592236894758,0.0,0.0
1.520608243297319,0.0,0.0
1.56062424969988,0.0,0.0
1.6006402561024409,0.0,0.0
1.640656262505002,0.0,0.0
1.680672268907563,0.0,0.0
1.720688275310124,0.0,0.0
1.760704281712685,0.0,0.0
1.8007202881152462,0.0,0.0
1.8407362945178072,0.0,0.0
1.8807523009203682,0.0,0.0
1.9207683073229291,0.0,0.0
1.9607843137254901,0.0,0.0
2.000800320128051,0.0,0.0
2.0408163265306123,0.0,0.0
2.0808323329331735,0.0,0.0
2.1208483393357342,0.0,0.0
2.1608643457382954,0.0,0.0
2.200880352140856,0.0,0.0
2.2408963585434174,0.0,0.0
2.2809123649459786,0.0,0.0
2.3209283713485394,0.0,0.0
2.3609443777511006,0.0,0.0
2.4009603841536613,0.0,0.0
2.4409763905562225,0.0,0.0
2.4809923969587837,0.0,0.0
2.5210084033613445,0.0,0.0
2.5610244097639057,0.0,0.0
2.6010404161664664,0.0,0.0
2.6410564225690276,0.0,0.0
2.681072428971589,0.0,0.0
2.7210884353741496,0.0,0.0
2.7611044417767108,0.0,0.0
2.8011204481792715,0.0,0.0
2.8411364545818327,0.0,0.0
2.881152460984394,0.0,0.0
2.9211684673869547,0.0,0.0
2.961184473789516,0.0,0.0
3.0012004801920766,0.0,0.0
3.041216486594638,0.0,0.0
3.081232492997199,0.0,0.0
3.12124849939976,0.0,0.0
3.161264505802321,0.0,0.0
3.2012805122048817,0.0,0.0
3.241296518607443,0.0,0.0
3.281312525010004,0.0,0.0
3.321328531412565,0.0,0.0
3.361344537815126,0.0,0.0
3.401360544217687,0.0,0.0
3.441376550620248,0.0,0.0
3.4813925570228093,0.0,0.0
3.52140856342537,0.0,0.0
3.561424569827931,0.0,0.0
3.6014405762304924,0.0,0.0
3.641456582633053,0.0,0.0
3.6814725890356144,0.0,0.0
3.721488595438175,0.0,0.0
3.7615046018407363,0.0,0.0
3.8015206082432975,0.0,0.0
3.8415366146458583,0.0,0.0
3.8815526210484195,0.0,0.0
3.9215686274509802,0.0,0.0
3.9615846338535414,0.0,0.0
4.001600640256102,0.0,0.0
