Timestamp (s),Set Current (A),Measured Voltage (V),Measured Current (A),Status
0.170,0.0000,0.0002,3.5108,OK
1.121,0.2000,0.2002,3.5478,OK
2.121,0.4000,0.4002,3.5850,OK
3.120,0.6000,0.6002,3.6226,OK
4.120,0.8000,0.8001,3.6603,OK
5.120,1.0000,1.0001,3.6983,OK
6.120,1.0000,1.0001,3.6993,OK
7.120,1.0000,1.0001,3.7002,OK
8.120,1.0000,1.0001,3.7010,OK
9.120,1.0000,1.0001,3.7018,OK
10.120,1.0000,1.0001,3.7025,OK
11.120,0.8000,0.8001,3.6660,OK
12.120,0.6000,0.6002,3.6293,OK
13.120,0.4000,0.4002,3.5924,OK
14.120,0.2000,0.2002,3.5554,OK
15.120,0.0000,0.0002,3.5182,OK
