step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.589443,0.0,3.776975393295288,OK
2,discharge,1.0,3.364475,-1.071943,9.351322889328003,OK
3,discharge,1.0,3.363115,-1.071845,10.355490684509277,OK
4,discharge,1.0,3.36204,-1.07156,11.359724760055542,OK
5,discharge,1.0,3.361168,-1.071124,12.363848447799683,OK
6,discharge,1.0,3.360289,-1.070619,13.368072032928467,OK
7,discharge,1.0,3.359611,-1.070173,14.372397661209106,OK
8,discharge,1.0,3.358914,-1.069591,15.377314805984497,OK
9,discharge,1.0,3.358337,-1.068924,16.381368398666382,OK
10,discharge,1.0,3.357708,-1.068203,17.388339281082153,OK
11,discharge,1.0,3.357182,-1.067644,18.392311573028564,OK
12,discharge,1.0,3.356711,-1.066824,19.397028923034668,OK
13,discharge,1.0,3.356234,-1.066124,20.401100873947144,OK
14,discharge,1.0,3.355822,-1.065185,21.408366203308105,OK
15,discharge,1.0,3.355414,-1.064567,22.412270069122314,OK
16,discharge,1.0,3.355026,-1.063768,23.416386604309082,OK
17,charge,0.2,3.620931,0.2,28.144299268722534,OK
18,charge,0.4,3.663441,0.4,29.253599405288696,OK
19,charge,0.6,3.706213,0.6,30.363415241241455,OK
20,charge,0.8,3.749067,0.8,31.473270416259766,OK
21,charge,1.0,3.792165,1.0,32.583102226257324,OK
22,charge,0.5,3.689649,0.5,33.69305419921875,OK
23,discharge,1.0,3.362365,-1.060503,39.26737022399902,OK
24,discharge,1.0,3.360992,-1.060478,40.2722065448761,OK
