Timestamp (s),Set Current (A),Measured Voltage (V),Measured Current (A),Status
0.106,0.0000,0.0002,3.5182,OK
1.005,0.2000,0.0002,3.5182,OK
2.005,0.4000,0.0002,3.5182,OK
3.005,0.6000,0.0002,3.5182,OK
4.006,0.8000,0.0002,3.5182,OK
5.005,1.0000,0.0002,3.5182,OK
6.005,1.0000,0.0002,3.5182,OK
7.006,1.0000,0.0002,3.5182,OK
8.005,1.0000,0.0002,3.5182,OK
9.005,1.0000,0.0002,3.5182,OK
10.005,1.0000,0.0002,3.5182,OK
11.005,0.8000,0.0002,3.5182,OK
12.005,0.6000,0.0002,3.5182,OK
13.006,0.4000,0.0002,3.5182,OK
14.005,0.2000,0.0002,3.5182,OK
15.005,0.0000,0.0002,3.5182,OK
