step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.556218,0.0,3.752546787261963,OK
2,discharge,1.0,3.366748,-1.051211,18.300418853759766,OK
3,discharge,1.0,3.354717,-1.046376,28.365963459014893,OK
4,discharge,1.0,3.34776,-1.039385,38.39690947532654,OK
5,discharge,1.0,3.347016,-1.033273,48.42596459388733,OK
6,discharge,1.0,3.346169,-1.028689,58.454516649246216,OK
7,discharge,1.0,3.345073,-1.025089,68.48034930229187,OK
8,discharge,1.0,3.344733,-1.022385,78.51166653633118,OK
9,discharge,1.0,3.344743,-1.020378,88.55189681053162,OK
10,discharge,1.0,3.341871,-1.018667,98.60466766357422,OK
11,discharge,1.0,3.340756,-1.017137,108.63362669944763,OK
12,discharge,1.0,3.339387,-1.01587,118.66341757774353,OK
13,discharge,1.0,3.339106,-1.015716,129.0072319507599,OK
14,discharge,1.0,3.339106,-1.015716,139.38931250572205,OK
15,discharge,1.0,3.339106,-1.015716,149.7320055961609,OK
16,discharge,1.0,3.339106,-1.015716,160.12533736228943,OK
17,charge,0.2,3.556301,0.2,173.86156344413757,OK
18,charge,0.4,3.566645,0.4,183.96972107887268,OK
19,charge,0.6,3.615255,0.6,194.077880859375,OK
20,charge,0.8,3.654662,0.8,204.1866865158081,OK
21,charge,1.0,3.696852,1.0,214.2952950000763,OK
22,charge,0.5,3.730594,0.5,224.40388560295105,OK
23,discharge,1.0,3.349729,-1.037334,238.94745707511902,OK
24,discharge,1.0,3.341002,-1.034067,248.99339652061462,OK
