step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.572235,0.0,3.779480218887329,OK
2,discharge,1.0,3.385619,-1.065694,18.327088594436646,OK
3,discharge,1.0,3.377491,-1.059875,28.34932541847229,OK
4,discharge,1.0,3.373326,-1.051656,38.398491859436035,OK
5,discharge,1.0,3.370623,-1.044652,48.441397190093994,OK
6,discharge,1.0,3.369131,-1.0396,58.46817708015442,OK
7,discharge,1.0,3.367864,-1.035148,68.49695944786072,OK
8,discharge,1.0,3.366832,-1.03181,78.53226566314697,OK
9,discharge,1.0,3.365871,-1.029237,88.56112289428711,OK
10,discharge,1.0,3.364835,-1.027129,98.58744883537292,OK
11,discharge,1.0,3.363925,-1.025095,108.6519844532013,OK
12,discharge,1.0,3.363021,-1.023183,118.68002843856812,OK
13,discharge,1.0,3.362831,-1.023052,129.03271627426147,OK
14,discharge,1.0,3.362831,-1.023052,139.43215227127075,OK
15,discharge,1.0,3.362831,-1.023052,149.77136278152466,OK
16,discharge,1.0,3.362831,-1.023052,160.10149550437927,OK
17,charge,0.2,3.569328,0.2,173.84230661392212,OK
18,charge,0.4,3.579141,0.4,183.9541473388672,OK
19,charge,0.6,3.618768,0.6,194.06449604034424,OK
20,charge,0.8,3.658349,0.8,204.17492032051086,OK
21,charge,1.0,3.698189,1.0,214.2852418422699,OK
22,charge,0.5,3.726643,0.5,224.40565419197083,OK
23,discharge,1.0,3.382971,-1.041432,238.9510133266449,OK
24,discharge,1.0,3.373633,-1.038014,248.996976852417,OK
