step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,ERROR,ERROR,12.316844701766968,ERROR: could not convert string to float: '+0.000000E+00A'
2,discharge,1.0,,,28.94676637649536,OK
3,discharge,1.0,3.21762,-1.06332,29.950895309448242,OK
4,discharge,1.0,3.216137,-1.063081,30.957987546920776,OK
5,discharge,1.0,3.214977,-1.062758,31.962152004241943,OK
6,discharge,1.0,3.213892,-1.06237,32.9694550037384,OK
7,discharge,1.0,3.212939,-1.061963,33.97313189506531,OK
8,discharge,1.0,3.212063,-1.061474,34.976842403411865,OK
9,discharge,1.0,3.211295,-1.060828,35.98138189315796,OK
10,discharge,1.0,3.210537,-1.060199,36.986769676208496,OK
11,discharge,1.0,3.209862,-1.059575,37.99066734313965,OK
12,discharge,1.0,3.209209,-1.058738,38.997944593429565,OK
13,discharge,1.0,3.208673,-1.057917,40.00247502326965,OK
14,discharge,1.0,3.208064,-1.057154,41.007439851760864,OK
15,discharge,1.0,3.207515,-1.056348,42.012707233428955,OK
16,discharge,1.0,3.206955,-1.055544,43.017547845840454,OK
17,charge,0.2,ERROR,ERROR,54.75513434410095,ERROR: could not convert string to float: '+2.000000E-01A'
18,charge,0.4,ERROR,ERROR,55.83513903617859,ERROR: could not convert string to float: '+4.000000E-01A'
19,charge,0.6,ERROR,ERROR,56.915064096450806,ERROR: could not convert string to float: '+6.000000E-01A'
20,charge,0.8,ERROR,ERROR,57.99507546424866,ERROR: could not convert string to float: '+8.000000E-01A'
21,charge,1.0,ERROR,ERROR,59.07500910758972,ERROR: could not convert string to float: '+1.000000E+00A'
22,charge,0.5,ERROR,ERROR,60.15479516983032,ERROR: could not convert string to float: '+5.000000E-01A'
23,discharge,1.0,,,71.85563802719116,OK
24,discharge,1.0,3.214503,-1.055913,72.8596842288971,OK
