step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.538341,0.0,3.7489593029022217,OK
2,discharge,1.0,3.344527,-1.045232,18.29509663581848,OK
3,discharge,1.0,3.337183,-1.041127,28.315945148468018,OK
4,discharge,1.0,3.333573,-1.034448,38.355199337005615,OK
5,discharge,1.0,3.330721,-1.028922,48.38576865196228,OK
6,discharge,1.0,3.287492,-1.024253,58.417319774627686,OK
7,discharge,1.0,3.279854,-1.020751,68.44649767875671,OK
8,discharge,1.0,3.303668,-1.018548,78.4771466255188,OK
9,discharge,1.0,3.301614,-1.016812,88.50591850280762,OK
10,discharge,1.0,3.305283,-1.015579,98.53520011901855,OK
11,discharge,1.0,3.297889,-1.014063,108.58486127853394,OK
12,discharge,1.0,3.296549,-1.013129,118.63740515708923,OK
13,discharge,1.0,3.296475,-1.012865,128.97503924369812,OK
14,discharge,1.0,3.296475,-1.012865,139.3437855243683,OK
15,discharge,1.0,3.296475,-1.012865,149.69902157783508,OK
16,discharge,1.0,3.296475,-1.012865,160.07507371902466,OK
17,charge,0.2,3.539237,0.2,173.79129719734192,OK
18,charge,0.4,3.549675,0.4,183.9007670879364,OK
19,charge,0.6,3.595183,0.6,194.01023864746094,OK
20,charge,0.8,3.640665,0.8,204.12020874023438,OK
21,charge,1.0,3.685989,1.0,214.23000359535217,OK
22,charge,0.5,3.71702,0.5,224.33970260620117,OK
23,discharge,1.0,3.320532,-1.035755,238.88501596450806,OK
24,discharge,1.0,3.312105,-1.032326,248.93221020698547,OK
