step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.43087,0.0,18.140865087509155,OK
2,discharge,1.0,,,30.311147451400757,OK
3,discharge,1.0,3.216746,-1.063753,31.314905881881714,OK
4,discharge,1.0,3.215218,-1.063448,32.319560289382935,OK
5,discharge,1.0,3.21401,-1.063224,33.32391119003296,OK
6,discharge,1.0,3.212916,-1.062987,34.32787561416626,OK
7,discharge,1.0,3.211883,-1.062446,35.331708669662476,OK
8,discharge,1.0,3.210956,-1.062282,36.335933208465576,OK
9,discharge,1.0,3.210089,-1.061608,37.34320902824402,OK
10,discharge,1.0,3.209331,-1.061072,38.34779191017151,OK
11,discharge,1.0,3.208565,-1.060508,39.352208852767944,OK
12,discharge,1.0,3.207901,-1.059685,40.35667276382446,OK
13,discharge,1.0,3.207067,-1.058989,41.361900806427,OK
14,discharge,1.0,3.206459,-1.058095,42.366459369659424,OK
15,discharge,1.0,3.20581,-1.05758,43.37116551399231,OK
16,discharge,1.0,3.205237,-1.056772,44.37573218345642,OK
17,charge,0.2,3.461578,0.2,57.97973704338074,OK
18,charge,0.4,3.502015,0.4,59.05962538719177,OK
19,charge,0.6,3.542923,0.6,60.13947820663452,OK
20,charge,0.8,3.584334,0.8,61.21917223930359,OK
21,charge,1.0,3.62588,1.0,62.29913377761841,OK
22,charge,0.5,3.52743,0.5,63.37921094894409,OK
23,discharge,1.0,,,76.219717502594,OK
24,discharge,1.0,3.213803,-1.057325,77.22387290000916,OK
