time_s,voltage_V,current_A
+4.864700E+00,+3.425881E+00,-1.075437E+00
+4.906000E+00,+3.425851E+00,-1.075411E+00
+4.947200E+00,+3.425824E+00,-1.075383E+00
+4.988400E+00,+3.425787E+00,-1.075370E+00
+5.029700E+00,+3.425752E+00,-1.075340E+00
+5.070900E+00,+3.425719E+00,-1.075309E+00
+5.112100E+00,+3.425701E+00,-1.075272E+00
+5.153300E+00,+3.425658E+00,-1.075270E+00
+5.194600E+00,+3.425644E+00,-1.075269E+00
+5.235800E+00,+3.425606E+00,-1.075246E+00
+5.277000E+00,+3.425569E+00,-1.075226E+00
+5.318300E+00,+3.425551E+00,-1.075207E+00
+5.359500E+00,+3.425515E+00,-1.075213E+00
+5.400700E+00,+3.425493E+00,-1.075182E+00
+5.441900E+00,+3.425461E+00,-1.075155E+00
+5.483200E+00,+3.425430E+00,-1.075169E+00
+5.524400E+00,+3.425396E+00,-1.075146E+00
+5.565700E+00,+3.425366E+00,-1.075139E+00
+5.606900E+00,+3.425335E+00,-1.075132E+00
+5.648200E+00,+3.425314E+00,-1.075119E+00
+5.689400E+00,+3.425282E+00,-1.075097E+00
+5.730600E+00,+3.425248E+00,-1.075083E+00
+5.771800E+00,+3.425225E+00,-1.075042E+00
+5.813100E+00,+3.425195E+00,-1.075042E+00
+5.854300E+00,+3.425169E+00,-1.075038E+00
+5.895500E+00,+3.425119E+00,-1.075033E+00
+5.936800E+00,+3.425102E+00,-1.075021E+00
+5.978000E+00,+3.425083E+00,-1.074999E+00
+6.019200E+00,+3.425041E+00,-1.074996E+00
+6.060400E+00,+3.425017E+00,-1.074965E+00
+6.101700E+00,+3.424989E+00,-1.074939E+00
+6.142900E+00,+3.424953E+00,-1.074926E+00
+6.184200E+00,+3.424928E+00,-1.074917E+00
+6.225400E+00,+3.424903E+00,-1.074894E+00
+6.266700E+00,+3.424881E+00,-1.074878E+00
+6.307900E+00,+3.424854E+00,-1.074881E+00
+6.349100E+00,+3.424829E+00,-1.074854E+00
+6.390400E+00,+3.424799E+00,-1.074797E+00
+6.431600E+00,+3.424776E+00,-1.074763E+00
+6.472800E+00,+3.424757E+00,-1.074746E+00
+6.514100E+00,+3.424721E+00,-1.074739E+00
+6.555300E+00,+3.424693E+00,-1.074703E+00
+6.596600E+00,+3.424659E+00,-1.074693E+00
+6.637800E+00,+3.424634E+00,-1.074664E+00
+6.679000E+00,+3.424611E+00,-1.074645E+00
+6.720200E+00,+3.424594E+00,-1.074624E+00
+6.761500E+00,+3.424562E+00,-1.074574E+00
+6.802700E+00,+3.424537E+00,-1.074562E+00
+6.843900E+00,+3.424512E+00,-1.074546E+00
+6.885200E+00,+3.424492E+00,-1.074518E+00
+6.926400E+00,+3.424482E+00,-1.074492E+00
+6.967700E+00,+3.424446E+00,-1.074482E+00
+7.008900E+00,+3.424399E+00,-1.074451E+00
+7.050100E+00,+3.424391E+00,-1.074401E+00
+7.091400E+00,+3.424366E+00,-1.074379E+00
+7.132600E+00,+3.424347E+00,-1.074349E+00
+7.173900E+00,+3.424319E+00,-1.074330E+00
+7.215100E+00,+3.424283E+00,-1.074311E+00
+7.256300E+00,+3.424270E+00,-1.074291E+00
+7.297600E+00,+3.424243E+00,-1.074270E+00
+7.338800E+00,+3.424198E+00,-1.074247E+00
