time_s,voltage_V,current_A
+1.789330E+01,+3.396955E+00,-1.038220E+00
+1.793450E+01,+3.396960E+00,-1.038146E+00
+1.797580E+01,+3.396949E+00,-1.038182E+00
+1.801700E+01,+3.396968E+00,-1.038012E+00
+1.805820E+01,+3.396971E+00,-1.038036E+00
+1.809940E+01,+3.396968E+00,-1.038071E+00
+1.814070E+01,+3.396958E+00,-1.038048E+00
+1.818190E+01,+3.396951E+00,-1.038073E+00
+1.822310E+01,+3.396960E+00,-1.037948E+00
+1.826430E+01,+3.396964E+00,-1.037954E+00
+1.830560E+01,+3.396964E+00,-1.037912E+00
+1.834680E+01,+3.396951E+00,-1.037934E+00
+1.838800E+01,+3.396949E+00,-1.037857E+00
+1.842920E+01,+3.396955E+00,-1.037859E+00
+1.847050E+01,+3.396938E+00,-1.037854E+00
+1.851170E+01,+3.396930E+00,-1.037857E+00
+1.855290E+01,+3.396911E+00,-1.038007E+00
+1.859410E+01,+3.396898E+00,-1.037947E+00
+1.863540E+01,+3.396934E+00,-1.037786E+00
+1.867660E+01,+3.396919E+00,-1.037886E+00
+1.871780E+01,+3.396899E+00,-1.037812E+00
+1.875900E+01,+3.396920E+00,-1.037797E+00
+1.880030E+01,+3.396903E+00,-1.037819E+00
+1.884150E+01,+3.396902E+00,-1.037877E+00
+1.888270E+01,+3.396871E+00,-1.037881E+00
+1.892390E+01,+3.396888E+00,-1.037823E+00
+1.896520E+01,+3.396871E+00,-1.037857E+00
+1.900640E+01,+3.396856E+00,-1.037905E+00
+1.904760E+01,+3.396858E+00,-1.037906E+00
+1.908880E+01,+3.396843E+00,-1.037879E+00
+1.913010E+01,+3.396854E+00,-1.037943E+00
+1.917130E+01,+3.396824E+00,-1.037894E+00
+1.921260E+01,+3.396824E+00,-1.037875E+00
+1.925380E+01,+3.396811E+00,-1.037828E+00
+1.929500E+01,+3.396816E+00,-1.037904E+00
+1.933630E+01,+3.396790E+00,-1.037892E+00
+1.937750E+01,+3.396797E+00,-1.037907E+00
+1.941870E+01,+3.396786E+00,-1.037943E+00
+1.946000E+01,+3.396786E+00,-1.037939E+00
+1.950120E+01,+3.396767E+00,-1.037941E+00
+1.954250E+01,+3.396757E+00,-1.037951E+00
+1.958370E+01,+3.396750E+00,-1.037939E+00
+1.962500E+01,+3.396761E+00,-1.037927E+00
+1.966620E+01,+3.396744E+00,-1.037887E+00
+1.970740E+01,+3.396755E+00,-1.037873E+00
