step,mode,set_current_a,measured_voltage_v,measured_current_a,elapsed_time_s,status
1,charge,0.0,3.68351,0.0,0.21939563751220703,OK
2,discharge,1.0,3.506891,-1.039211,41.344236850738525,OK
3,discharge,1.0,3.506458,-1.038514,42.3517792224884,OK
4,discharge,1.0,3.506006,-1.038221,43.356147050857544,OK
5,discharge,1.0,3.505661,-1.037823,44.36297678947449,OK
6,discharge,1.0,3.505326,-1.037472,45.36727285385132,OK
7,discharge,1.0,3.504998,-1.037033,46.371782064437866,OK
8,discharge,1.0,3.504652,-1.036691,47.37599015235901,OK
9,discharge,1.0,3.504335,-1.036229,48.383230447769165,OK
10,discharge,1.0,3.504018,-1.035866,49.388108253479004,OK
11,discharge,1.0,3.503566,-1.035478,50.39243268966675,OK
12,discharge,1.0,3.503215,-1.035162,51.39662575721741,OK
13,discharge,1.0,3.502926,-1.034759,52.40403175354004,OK
14,discharge,1.0,3.502531,-1.03462,53.4573609828949,OK
15,discharge,1.0,3.501409,-1.034196,54.46243357658386,OK
16,discharge,1.0,3.501123,-1.033905,55.466750621795654,OK
17,charge,0.2,3.686309,0.2,60.59017634391785,OK
18,charge,0.4,3.716379,0.4,61.70032548904419,OK
19,charge,0.6,3.746569,0.6,62.810078382492065,OK
20,charge,0.8,3.777287,0.8,63.92034435272217,OK
21,charge,1.0,3.808866,1.0,65.03009581565857,OK
22,charge,0.5,3.736735,0.5,66.1402575969696,OK
23,discharge,1.0,3.4946,-1.029708,107.27743077278137,OK
24,discharge,1.0,3.494406,-1.029415,108.28472018241882,OK
