Parameter,Value,Unit
test_interval,2025-07-08T13:42:22.616452,
baseline_timestamp,2025-07-08T13:35:28.439960,
aging_score,0,
assessment,MINIMAL - Batarya sağlıklı,
color_indicator,🟢,
issues,[],
